Goal,goal_description,goal_id,Objective,obj_description,obj_id,Technique,tech_description,tech_id,Approach,app_description,app_id
Withstand,Continue essential mission or business functions despite adversity.,g2,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Resource Allocation,Change the allocation of resources to tasks or functions without terminating critical functions or processes.,a2
Recover,Restore mission or business functions during and after adversity.,g3,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Resource Allocation,Change the allocation of resources to tasks or functions without terminating critical functions or processes.,a2
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Adaptive Response,Implement agile cyber courses of action to manage risks.,t1,Dynamic Resource Allocation,Change the allocation of resources to tasks or functions without terminating critical functions or processes.,a2
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Supply Chain Diversity,Use multiple independent supply chains for critical components.,a20
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Supply Chain Diversity,Use multiple independent supply chains for critical components.,a20
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Supply Chain Diversity,Use multiple independent supply chains for critical components.,a20
Withstand,Continue essential mission or business functions despite adversity.,g2,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Supply Chain Diversity,Use multiple independent supply chains for critical components.,a20
Recover,Restore mission or business functions during and after adversity.,g3,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Supply Chain Diversity,Use multiple independent supply chains for critical components.,a20
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Supply Chain Diversity,Use multiple independent supply chains for critical components.,a20
Withstand,Continue essential mission or business functions despite adversity.,g2,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Supply Chain Diversity,Use multiple independent supply chains for critical components.,a20
Recover,Restore mission or business functions during and after adversity.,g3,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Supply Chain Diversity,Use multiple independent supply chains for critical components.,a20
Withstand,Continue essential mission or business functions despite adversity.,g2,Constrain,Limit damage from adversity.,o4,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Supply Chain Diversity,Use multiple independent supply chains for critical components.,a20
Recover,Restore mission or business functions during and after adversity.,g3,Constrain,Limit damage from adversity.,o4,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Supply Chain Diversity,Use multiple independent supply chains for critical components.,a20
Recover,Restore mission or business functions during and after adversity.,g3,Re-Architect,Modify architectures to handle adversity and address environmental changes more effectively.,o8,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Supply Chain Diversity,Use multiple independent supply chains for critical components.,a20
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Re-Architect,Modify architectures to handle adversity and address environmental changes more effectively.,o8,Diversity,"Use heterogeneity to minimize common mode failures, particularly attacks exploiting common vulnerabilities.",t5,Supply Chain Diversity,Use multiple independent supply chains for critical components.,a20
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Sensors,"Relocate sensors, or reallocate responsibility for specific sensing tasks, to look for indicators of adverse events.",a21
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Sensors,"Relocate sensors, or reallocate responsibility for specific sensing tasks, to look for indicators of adverse events.",a21
Withstand,Continue essential mission or business functions despite adversity.,g2,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Sensors,"Relocate sensors, or reallocate responsibility for specific sensing tasks, to look for indicators of adverse events.",a21
Recover,Restore mission or business functions during and after adversity.,g3,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Sensors,"Relocate sensors, or reallocate responsibility for specific sensing tasks, to look for indicators of adverse events.",a21
Withstand,Continue essential mission or business functions despite adversity.,g2,Constrain,Limit damage from adversity.,o4,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Sensors,"Relocate sensors, or reallocate responsibility for specific sensing tasks, to look for indicators of adverse events.",a21
Recover,Restore mission or business functions during and after adversity.,g3,Constrain,Limit damage from adversity.,o4,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Sensors,"Relocate sensors, or reallocate responsibility for specific sensing tasks, to look for indicators of adverse events.",a21
Recover,Restore mission or business functions during and after adversity.,g3,Reconstitute,Restore as much mission or business functionality as possible after adversity.,o5,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Sensors,"Relocate sensors, or reallocate responsibility for specific sensing tasks, to look for indicators of adverse events.",a21
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Sensors,"Relocate sensors, or reallocate responsibility for specific sensing tasks, to look for indicators of adverse events.",a21
Withstand,Continue essential mission or business functions despite adversity.,g2,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Sensors,"Relocate sensors, or reallocate responsibility for specific sensing tasks, to look for indicators of adverse events.",a21
Recover,Restore mission or business functions during and after adversity.,g3,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Sensors,"Relocate sensors, or reallocate responsibility for specific sensing tasks, to look for indicators of adverse events.",a21
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Sensors,"Relocate sensors, or reallocate responsibility for specific sensing tasks, to look for indicators of adverse events.",a21
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Cyber Resources,"Change the location of cyber resources that provide functionality or information, either by moving the assets or by transferring functional responsibility.",a22
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Cyber Resources,"Change the location of cyber resources that provide functionality or information, either by moving the assets or by transferring functional responsibility.",a22
Withstand,Continue essential mission or business functions despite adversity.,g2,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Cyber Resources,"Change the location of cyber resources that provide functionality or information, either by moving the assets or by transferring functional responsibility.",a22
Recover,Restore mission or business functions during and after adversity.,g3,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Cyber Resources,"Change the location of cyber resources that provide functionality or information, either by moving the assets or by transferring functional responsibility.",a22
Withstand,Continue essential mission or business functions despite adversity.,g2,Constrain,Limit damage from adversity.,o4,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Cyber Resources,"Change the location of cyber resources that provide functionality or information, either by moving the assets or by transferring functional responsibility.",a22
Recover,Restore mission or business functions during and after adversity.,g3,Constrain,Limit damage from adversity.,o4,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Cyber Resources,"Change the location of cyber resources that provide functionality or information, either by moving the assets or by transferring functional responsibility.",a22
Recover,Restore mission or business functions during and after adversity.,g3,Reconstitute,Restore as much mission or business functionality as possible after adversity.,o5,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Cyber Resources,"Change the location of cyber resources that provide functionality or information, either by moving the assets or by transferring functional responsibility.",a22
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Cyber Resources,"Change the location of cyber resources that provide functionality or information, either by moving the assets or by transferring functional responsibility.",a22
Withstand,Continue essential mission or business functions despite adversity.,g2,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Cyber Resources,"Change the location of cyber resources that provide functionality or information, either by moving the assets or by transferring functional responsibility.",a22
Recover,Restore mission or business functions during and after adversity.,g3,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Cyber Resources,"Change the location of cyber resources that provide functionality or information, either by moving the assets or by transferring functional responsibility.",a22
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Functional Relocation of Cyber Resources,"Change the location of cyber resources that provide functionality or information, either by moving the assets or by transferring functional responsibility.",a22
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Asset Mobility,Securely move physical resources.,a23
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Asset Mobility,Securely move physical resources.,a23
Withstand,Continue essential mission or business functions despite adversity.,g2,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Asset Mobility,Securely move physical resources.,a23
Recover,Restore mission or business functions during and after adversity.,g3,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Asset Mobility,Securely move physical resources.,a23
Withstand,Continue essential mission or business functions despite adversity.,g2,Constrain,Limit damage from adversity.,o4,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Asset Mobility,Securely move physical resources.,a23
Recover,Restore mission or business functions during and after adversity.,g3,Constrain,Limit damage from adversity.,o4,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Asset Mobility,Securely move physical resources.,a23
Recover,Restore mission or business functions during and after adversity.,g3,Reconstitute,Restore as much mission or business functionality as possible after adversity.,o5,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Asset Mobility,Securely move physical resources.,a23
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Asset Mobility,Securely move physical resources.,a23
Withstand,Continue essential mission or business functions despite adversity.,g2,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Asset Mobility,Securely move physical resources.,a23
Recover,Restore mission or business functions during and after adversity.,g3,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Asset Mobility,Securely move physical resources.,a23
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Asset Mobility,Securely move physical resources.,a23
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Fragmentation,Fragment information and distribute it across multiple components.,a24
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Fragmentation,Fragment information and distribute it across multiple components.,a24
Withstand,Continue essential mission or business functions despite adversity.,g2,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Fragmentation,Fragment information and distribute it across multiple components.,a24
Recover,Restore mission or business functions during and after adversity.,g3,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Fragmentation,Fragment information and distribute it across multiple components.,a24
Withstand,Continue essential mission or business functions despite adversity.,g2,Constrain,Limit damage from adversity.,o4,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Fragmentation,Fragment information and distribute it across multiple components.,a24
Recover,Restore mission or business functions during and after adversity.,g3,Constrain,Limit damage from adversity.,o4,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Fragmentation,Fragment information and distribute it across multiple components.,a24
Recover,Restore mission or business functions during and after adversity.,g3,Reconstitute,Restore as much mission or business functionality as possible after adversity.,o5,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Fragmentation,Fragment information and distribute it across multiple components.,a24
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Fragmentation,Fragment information and distribute it across multiple components.,a24
Withstand,Continue essential mission or business functions despite adversity.,g2,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Fragmentation,Fragment information and distribute it across multiple components.,a24
Recover,Restore mission or business functions during and after adversity.,g3,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Fragmentation,Fragment information and distribute it across multiple components.,a24
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Fragmentation,Fragment information and distribute it across multiple components.,a24
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Distributed Functionality,Decompose a function or application into smaller functions and distribute those functions across multiple components.,a25
Withstand,Continue essential mission or business functions despite adversity.,g2,Prevent or Avoid,Preclude the successful execution of an attack or the realization of adverse conditions.,o1,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Distributed Functionality,Decompose a function or application into smaller functions and distribute those functions across multiple components.,a25
Withstand,Continue essential mission or business functions despite adversity.,g2,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Distributed Functionality,Decompose a function or application into smaller functions and distribute those functions across multiple components.,a25
Recover,Restore mission or business functions during and after adversity.,g3,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Distributed Functionality,Decompose a function or application into smaller functions and distribute those functions across multiple components.,a25
Withstand,Continue essential mission or business functions despite adversity.,g2,Constrain,Limit damage from adversity.,o4,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Distributed Functionality,Decompose a function or application into smaller functions and distribute those functions across multiple components.,a25
Recover,Restore mission or business functions during and after adversity.,g3,Constrain,Limit damage from adversity.,o4,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Distributed Functionality,Decompose a function or application into smaller functions and distribute those functions across multiple components.,a25
Recover,Restore mission or business functions during and after adversity.,g3,Reconstitute,Restore as much mission or business functionality as possible after adversity.,o5,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Distributed Functionality,Decompose a function or application into smaller functions and distribute those functions across multiple components.,a25
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Distributed Functionality,Decompose a function or application into smaller functions and distribute those functions across multiple components.,a25
Withstand,Continue essential mission or business functions despite adversity.,g2,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Distributed Functionality,Decompose a function or application into smaller functions and distribute those functions across multiple components.,a25
Recover,Restore mission or business functions during and after adversity.,g3,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Distributed Functionality,Decompose a function or application into smaller functions and distribute those functions across multiple components.,a25
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Dynamic Positioning,Distribute and dynamically relocate functionality or system resources.,t6,Distributed Functionality,Decompose a function or application into smaller functions and distribute those functions across multiple components.,a25
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Resource Awareness,"Maintain current information about resources, status of resources, and resource connectivity.",a26
Withstand,Continue essential mission or business functions despite adversity.,g2,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Resource Awareness,"Maintain current information about resources, status of resources, and resource connectivity.",a26
Recover,Restore mission or business functions during and after adversity.,g3,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Resource Awareness,"Maintain current information about resources, status of resources, and resource connectivity.",a26
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Resource Awareness,"Maintain current information about resources, status of resources, and resource connectivity.",a26
Withstand,Continue essential mission or business functions despite adversity.,g2,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Resource Awareness,"Maintain current information about resources, status of resources, and resource connectivity.",a26
Recover,Restore mission or business functions during and after adversity.,g3,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Resource Awareness,"Maintain current information about resources, status of resources, and resource connectivity.",a26
Recover,Restore mission or business functions during and after adversity.,g3,Reconstitute,Restore as much mission or business functionality as possible after adversity.,o5,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Resource Awareness,"Maintain current information about resources, status of resources, and resource connectivity.",a26
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Resource Awareness,"Maintain current information about resources, status of resources, and resource connectivity.",a26
Withstand,Continue essential mission or business functions despite adversity.,g2,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Resource Awareness,"Maintain current information about resources, status of resources, and resource connectivity.",a26
Recover,Restore mission or business functions during and after adversity.,g3,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Resource Awareness,"Maintain current information about resources, status of resources, and resource connectivity.",a26
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Resource Awareness,"Maintain current information about resources, status of resources, and resource connectivity.",a26
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Threat Awareness,"Maintain current information about threat actors, indicators, and potential, predicted, and observed adverse events.",a27
Withstand,Continue essential mission or business functions despite adversity.,g2,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Threat Awareness,"Maintain current information about threat actors, indicators, and potential, predicted, and observed adverse events.",a27
Recover,Restore mission or business functions during and after adversity.,g3,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Threat Awareness,"Maintain current information about threat actors, indicators, and potential, predicted, and observed adverse events.",a27
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Threat Awareness,"Maintain current information about threat actors, indicators, and potential, predicted, and observed adverse events.",a27
Withstand,Continue essential mission or business functions despite adversity.,g2,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Threat Awareness,"Maintain current information about threat actors, indicators, and potential, predicted, and observed adverse events.",a27
Recover,Restore mission or business functions during and after adversity.,g3,Continue,Maximize the duration and viability of essential mission or business functions during adversity.,o3,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Threat Awareness,"Maintain current information about threat actors, indicators, and potential, predicted, and observed adverse events.",a27
Recover,Restore mission or business functions during and after adversity.,g3,Reconstitute,Restore as much mission or business functionality as possible after adversity.,o5,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Threat Awareness,"Maintain current information about threat actors, indicators, and potential, predicted, and observed adverse events.",a27
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Threat Awareness,"Maintain current information about threat actors, indicators, and potential, predicted, and observed adverse events.",a27
Withstand,Continue essential mission or business functions despite adversity.,g2,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Threat Awareness,"Maintain current information about threat actors, indicators, and potential, predicted, and observed adverse events.",a27
Recover,Restore mission or business functions during and after adversity.,g3,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Threat Awareness,"Maintain current information about threat actors, indicators, and potential, predicted, and observed adverse events.",a27
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Understand,Maintain useful representations of mission and business dependencies and the status of resources with respect to possible adversity.,o6,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Dynamic Threat Awareness,"Maintain current information about threat actors, indicators, and potential, predicted, and observed adverse events.",a27
Anticipate,Maintain a state of informed preparedness for adversity.,g1,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Mission Dependency and Status Visualization,"Maintain current information about the status of missions or business functions, dependencies on resources, and the status of those resources with respect to threats.",a28
Withstand,Continue essential mission or business functions despite adversity.,g2,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Mission Dependency and Status Visualization,"Maintain current information about the status of missions or business functions, dependencies on resources, and the status of those resources with respect to threats.",a28
Recover,Restore mission or business functions during and after adversity.,g3,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Mission Dependency and Status Visualization,"Maintain current information about the status of missions or business functions, dependencies on resources, and the status of those resources with respect to threats.",a28
Adapt,"Modify mission or business functions and/or supporting capabilities to predicted changes in the technical, operational, or threat environments.",g4,Prepare,Maintain a set of realistic courses of action that address predicted or anticipated adversity.,o2,Contextual Awareness,Construct and maintain current representations of the posture of missions or business functions considering cyber events and cyber courses of action.,t7,Mission Dependency and Status Visualization,"Maintain current information about the status of missions or business functions, dependencies on resources, and the status of those resources with respect to threats.",a28
